Player,Team,Batting Innings,Runs,Bowling Innings,Wickets
D Wiese,Royal Challengers Bangalore,8.0,127.0,14.0,16.0
UT Khawaja,Rising Pune Supergiant,6.0,127.0,0.0,0.0
JJ Roy,Delhi Capitals,5.0,127.0,0.0,0.0
SB Styris,Deccan Chargers,9.0,126.0,10.0,8.0
C de Grandhomme,Kolkata Knight Riders,9.0,126.0,9.0,4.0
MC Juneja,Delhi Capitals,7.0,125.0,0.0,0.0
CA Pujara,Kings XI Punjab,6.0,125.0,0.0,0.0
RE van der Merwe,Royal Challengers Bangalore,9.0,123.0,11.0,11.0
BB Samantray,Sunrisers Hyderabad,7.0,123.0,0.0,0.0
D Short,Rajasthan Royals,7.0,123.0,2.0,1.0
CA Pujara,Kolkata Knight Riders,6.0,122.0,0.0,0.0
CM Gautam,Mumbai Indians,9.0,121.0,0.0,0.0
Niraj Patel,Rajasthan Royals,6.0,121.0,0.0,0.0
AC Blizzard,Mumbai Indians,7.0,120.0,0.0,0.0
KC Sangakkara,Sunrisers Hyderabad,9.0,120.0,0.0,0.0
S Sohal,Kings XI Punjab,10.0,119.0,0.0,0.0
Misbah-ul-Haq,Royal Challengers Bangalore,8.0,117.0,0.0,0.0
S Gopal,Rajasthan Royals,11.0,117.0,24.0,31.0
KK Cooper,Rajasthan Royals,12.0,116.0,25.0,33.0
BCJ Cutting,Sunrisers Hyderabad,7.0,116.0,8.0,6.0
BCJ Cutting,Mumbai Indians,9.0,116.0,8.0,3.0
P Negi,Chennai Super Kings,9.0,116.0,12.0,6.0
DJ Hussey,Chennai Super Kings,4.0,116.0,1.0,2.0
OA Shah,Kolkata Knight Riders,5.0,115.0,0.0,0.0
AR Patel,Delhi Capitals,12.0,114.0,14.0,10.0
SW Billings,Chennai Super Kings,9.0,112.0,0.0,0.0
DJ Harris,Deccan Chargers,4.0,111.0,2.0,0.0
SS Tiwary,Delhi Capitals,6.0,109.0,0.0,0.0
P Kumar,Kings XI Punjab,21.0,109.0,44.0,31.0
R Sathish,Kings XI Punjab,8.0,109.0,3.0,0.0
Rashid Khan,Sunrisers Hyderabad,17.0,109.0,46.0,55.0
Yuvraj Singh,Mumbai Indians,4.0,108.0,0.0,0.0
P Dogra,Rajasthan Royals,8.0,107.0,0.0,0.0
JDP Oram,Chennai Super Kings,10.0,106.0,11.0,8.0
LJ Wright,Pune Warriors,5.0,106.0,6.0,2.0
AM Nayar,Kings XI Punjab,13.0,106.0,7.0,2.0
Gurkeerat Singh,Royal Challengers Bangalore,3.0,104.0,0.0,0.0
Bipul Sharma,Kings XI Punjab,9.0,104.0,12.0,8.0
YV Takawale,Royal Challengers Bangalore,5.0,104.0,0.0,0.0
RJ Quiney,Rajasthan Royals,7.0,103.0,0.0,0.0
UBT Chand,Mumbai Indians,6.0,102.0,0.0,0.0
AJ Finch,Delhi Capitals,8.0,102.0,1.0,0.0
M Morkel,Delhi Capitals,14.0,100.0,37.0,45.0
DJ Bravo,Gujarat Lions,12.0,99.0,15.0,17.0
CJ Ferguson,Pune Warriors,8.0,98.0,0.0,0.0
MJ Clarke,Pune Warriors,6.0,98.0,5.0,2.0
B Kumar,Sunrisers Hyderabad,23.0,97.0,86.0,109.0
MA Starc,Royal Challengers Bangalore,11.0,96.0,26.0,34.0
CR Brathwaite,Delhi Capitals,8.0,95.0,10.0,8.0
S Curran,Kings XI Punjab,8.0,95.0,9.0,10.0
MM Sharma,Kings XI Punjab,16.0,95.0,37.0,33.0
DW Steyn,Sunrisers Hyderabad,14.0,95.0,37.0,33.0
B Kumar,Pune Warriors,18.0,93.0,31.0,24.0
P Negi,Delhi Capitals,10.0,93.0,12.0,8.0
S Hetmyer,Royal Challengers Bangalore,5.0,93.0,0.0,0.0
A Mishra,Sunrisers Hyderabad,8.0,93.0,27.0,28.0
DJ Jacobs,Mumbai Indians,7.0,92.0,0.0,0.0
MG Johnson,Kings XI Punjab,18.0,92.0,26.0,28.0
PA Reddy,Sunrisers Hyderabad,7.0,91.0,0.0,0.0
MJ McClenaghan,Mumbai Indians,20.0,91.0,56.0,71.0
R McLaren,Kings XI Punjab,4.0,90.0,6.0,5.0
YV Takawale,Mumbai Indians,5.0,88.0,0.0,0.0
SL Malinga,Mumbai Indians,20.0,88.0,122.0,170.0
PR Shah,Mumbai Indians,8.0,87.0,0.0,0.0
AP Majumdar,Pune Warriors,4.0,87.0,0.0,0.0
JA Morkel,Delhi Capitals,3.0,86.0,4.0,3.0
J Archer,Rajasthan Royals,11.0,85.0,21.0,26.0
GJ Bailey,Rising Pune Supergiant,5.0,84.0,0.0,0.0
R Tewatia,Delhi Capitals,9.0,84.0,11.0,7.0
A Mishra,Deccan Chargers,14.0,84.0,28.0,32.0
RE Levi,Mumbai Indians,6.0,83.0,0.0,0.0
Bipul Sharma,Sunrisers Hyderabad,8.0,83.0,16.0,9.0
S Rutherford,Delhi Capitals,7.0,82.0,6.0,1.0
MJ Guptill,Sunrisers Hyderabad,3.0,82.0,0.0,0.0
